id_venta,nombre_pelicula,dia,horario,sala,cantidad_entradas
228,The Punk Syndrome,6,19:08:00,3,10
229,Dreileben -  Don't Follow Me Around,6,01:04:00,2,10
230,War Matador,6,22:33:00,2,15
231,Mapa,6,01:27:00,5,4
232,Al final: La última carta,6,23:46:00,1,15
233,Joven y alocada,3,16:32:00,3,26
234,Nobody's Daughter Haewon,3,13:13:00,2,19
235,Tráiganme la cabeza de la mujer metralleta,2,14:34:00,4,35
236,Martí­n (Hache),3,07:53:00,5,2
237,My Afghanistan - Life in the Forbidden Zone,6,07:20:00,1,1
238,Langsam Reiten Cowboy,3,21:33:00,3,35
239,Tale of Cinema,1,02:23:00,3,2
240,Silvia Prieto,2,11:29:00,2,17
241,Hawaii,5,01:48:00,4,21
242,Conversation avec George Cukor,2,06:31:00,1,2
243,Lugares comunes,1,19:34:00,1,29
244,Antonio Gil,5,20:18:00,4,26
245,A Little Suicide,1,11:18:00,1,23
246,Manhí£ de Santo António,5,06:40:00,5,19
247,Su re,6,12:58:00,4,18
248,In the Dust of the Stars,1,22:21:00,1,25
249,Roma,6,13:20:00,1,32
250,Miramar,4,04:41:00,3,21
251,Woolworths Choir,6,15:37:00,3,4
252,Alpine Saga,2,21:13:00,1,33
253,la extranjera,1,18:47:00,5,7
254,Bloody Daughter,4,18:46:00,3,14
255,Jack and Diane,1,20:41:00,5,38
256,Death Metal Angola,1,13:46:00,3,21
257,Paradise:Love,2,20:35:00,3,31
258,Harbour of Hope,5,21:39:00,1,18
259,la extranjera,1,00:58:00,3,5
260,Mandrill,6,21:22:00,1,13
261,Zona mutante,5,04:08:00,2,8
262,Falls Burns Malone Fiddles,1,14:50:00,4,19
263,Estación Zombi,2,02:18:00,4,16
264,A Little Suicide,1,16:30:00,5,40
265,Aprí¨s mai,1,14:45:00,1,36
266,My Afghanistan - Life in the Forbidden Zone,6,08:36:00,1,7
267,Men in the Ring,6,13:14:00,4,25
268,The Day He Arrives,4,09:16:00,5,32
269,David Lynch: Don't Look at Me,5,15:06:00,2,31
270,Qué historia es ésta y cuál es su final,4,22:38:00,1,40
271,Lazos perversos,5,20:04:00,3,8
272,In Another Country,3,22:07:00,5,15
273,Three Sisters,5,21:03:00,5,38
274,Jerry Lewis (partie 1),2,20:25:00,3,3
275,Paul Williams Still Alive,3,17:45:00,3,39
276,El otro dí­a,1,07:04:00,5,31
277,Ingrid Caven: Musique et voix,5,07:46:00,1,27
278,Sobreviven,2,18:04:00,1,19
279,Zona mutante,2,21:25:00,3,3
280,Harbour of Hope,2,03:07:00,1,22
281,Un sueÃ±o  recurrente,4,23:06:00,2,2
282,Something from Nothing: The Art of Rap,4,17:15:00,1,11
283,MontaÃ±a en sombra,2,08:12:00,2,11
284,Les Coquillettes,6,10:03:00,3,18
285,Arbeit,6,13:56:00,1,31
286,The Shine of Day,5,08:51:00,3,19
287,Conversation avec George Cukor,5,17:25:00,1,4
288,As ondas,2,10:21:00,1,8
289,Langsam Reiten Cowboy,6,07:37:00,4,5
290,Historias extraordinarias,1,01:04:00,1,8
291,In awe,5,17:36:00,1,20
292,Tchoupitoulas,3,20:30:00,4,16
293,De occulta philosophia,1,21:43:00,1,16
294,The End,3,01:45:00,1,36
295,El último asado,3,06:52:00,3,19
296,Go Away!,1,20:51:00,5,5
297,Marco Macaco,2,17:47:00,2,15
298,Marina Abramovic: The Artist Is Present,4,16:01:00,4,15
299,Habi,5,21:08:00,5,13
300,Tráiganme la cabeza de la mujer metralleta,2,23:58:00,1,1
301,Mundo Grúa,6,06:26:00,5,30
302,Anina,4,08:20:00,5,14
303,Déjeuner chez Gertrude Stein,5,21:28:00,2,31
304,El dí­a trajo la oscuridad,4,23:56:00,4,5
305,Here's looking at you,2,07:48:00,2,23
306,A Hijacking,6,22:19:00,2,19
307,Jerry Lewis (partie 1),4,19:29:00,2,31
308,Paisaje-Duración  (Carretera / Rocas),4,00:47:00,2,2
309,Romance Joe,1,00:11:00,5,38
310,Far from Afghanistan,3,11:30:00,2,40
311,El rey de EspaÃ±a,6,19:38:00,5,39
312,La república perdida,1,15:41:00,5,13
313,London Suite,3,06:14:00,3,17
314,A Study of Relationships Between Inner and Outer Space,3,13:10:00,3,9
315,the Luddite Cropper and  the Deluded Followers of  Joanna Southcott,1,10:04:00,4,24
316,El amor (primera parte),3,19:35:00,2,19
317,El universo de Escher,5,03:54:00,5,40
318,Metamorphosen,5,00:29:00,5,9
319,Jean Renoir le patron:  La rí¨gle et l'exception,4,00:37:00,5,17
320,La Paz,1,01:13:00,2,1
321,Dear Nonna: A Film Letter,5,07:25:00,5,37
322,The Act of Killing,2,10:11:00,5,12
323,Como me da la gana,3,07:36:00,5,6
324,Como me da la gana,3,06:57:00,5,31
325,Elena,2,00:59:00,3,37
326,Like Someone in Love,5,01:19:00,2,13
327,Algo más,4,18:20:00,1,7
328,Bob Wilson's Life & Death of Marina Abramovic,3,20:26:00,5,13
329,Un dí­a,6,19:02:00,5,10
330,Nyosha,5,19:32:00,4,17
331,Materia oscura,6,22:39:00,4,25
332,Mapa,2,02:27:00,3,22
333,salvata dai filibustieri,3,07:25:00,3,16
334,Turning Gate,5,16:52:00,2,8
335,Misterio,4,00:30:00,1,32
336,Una familia gay,4,06:41:00,2,18
337,Summer Holiday (Vaginale VII),1,13:44:00,2,10
338,Avanti popolo,6,11:03:00,4,3
339,The Scorsese Machine,2,06:17:00,5,27
340,Vers Madrid - The Burning Bright! (Scenes from the Class Struggle and the Revolution),3,08:19:00,2,37
341,Yo y Maru 2012,5,08:20:00,1,28
342,Sinais de serenidade por coisas sem sentido,1,22:42:00,5,35
343,Habi,3,07:00:00,5,10
344,Citadel,5,22:04:00,1,30
345,Un lugar en el mundo,5,15:14:00,3,29
346,Zona mutante,2,18:22:00,2,10
347,Los tentados,2,07:45:00,1,30
348,I Catch a Terrible Cat,2,08:40:00,2,14
349,Paradise:Love,3,01:39:00,5,36
350,Imaginario,2,10:30:00,5,35
351,Paradise:Love,4,19:11:00,5,9
352,La playa del amor,6,02:30:00,2,34
353,Remitente:  Una carta visual,4,22:12:00,5,13
354,El diario de Agustí­n,1,01:01:00,5,38
355,Ayer Buenos Aires hoy,6,23:51:00,5,35
356,Los últimos dí­as de la ví­ctima,1,02:08:00,2,12
357,Il Gemello,3,21:28:00,2,28
358,Summer Holiday (Vaginale VII),3,05:47:00,5,7
359,Mouth Wide Open,4,04:58:00,1,30
360,Plaga zombie,5,11:40:00,2,29
361,Concrete forms,1,21:44:00,5,12
362,Bonanza,6,03:40:00,3,4
363,A Hijacking,4,16:53:00,4,20
364,David Lynch: Don't Look at Me,4,08:52:00,5,1
365,Mandrill,3,01:24:00,4,1
366,Mundo Grúa,3,22:08:00,2,38
367,Outrage Beyond,3,11:42:00,3,20
368,Shut Up and Play the Hits,3,06:37:00,2,31
369,Twenty Little Films,3,06:30:00,5,34
370,The Capsule,1,02:12:00,3,17
371,Corea,6,22:04:00,5,32
372,Neón,1,15:36:00,3,6
373,Go Away!,6,16:06:00,3,7
374,Corea,1,13:07:00,2,9
375,Starlet,4,23:03:00,4,5
376,Doméstica,2,15:54:00,2,9
377,Rodencia y el diente  de la princesa,2,00:57:00,2,23
378,Inori,5,13:55:00,1,30
379,Estación Zombi,6,23:55:00,5,17
380,Corea,6,10:32:00,5,21
381,More Than Honey,1,21:36:00,4,9
382,Parapalos,6,06:56:00,1,39
383,The Beautiful + The Sublime,5,03:12:00,1,21
384,Hábitat,4,08:40:00,2,18
385,Jean Renoir le patron:  La rí¨gle et l'exception,6,14:15:00,5,22
386,Il Gemello,4,22:37:00,1,8
387,Aprí¨s mai,4,22:31:00,2,21
388,De occulta philosophia,1,02:54:00,5,34
389,Jean Renoir le patron:  La rí¨gle et l'exception,2,12:31:00,4,40
390,Concrete forms,1,02:37:00,5,18
391,Imágenes paganas,1,17:01:00,1,38
392,Kidd Life,2,10:16:00,3,30
393,Jean Renoir le patron:  La rí¨gle et l'exception,4,01:24:00,5,40
394,Disparos,6,21:17:00,4,29
395,Vamps,3,04:48:00,4,23
396,Domingos,5,04:46:00,3,23
397,Manhí£ de Santo António,3,01:26:00,4,19
398,Soy mucho mejor que vos,1,23:11:00,5,11
399,Brás Cubas,6,19:42:00,3,40
400,A World Not Ours,2,15:21:00,2,17
401,Katzenjammer,3,13:10:00,2,25
402,Modelo 73,4,06:34:00,1,22
403,Yo y Maru 2012,3,15:41:00,2,38
404,Sofia's Last Ambulance,3,05:35:00,3,31
405,Tango de una noche  de verano,5,22:06:00,2,35
406,Cuéntame de Bí­a,3,01:34:00,2,26
407,El universo de Escher,1,01:28:00,5,17
408,VidaExtra,1,02:20:00,3,26
409,Remitente:  Una carta visual,6,09:06:00,1,20
410,Manhí£ de Santo António,6,10:22:00,2,12
411,Fall and Rebirth of the Independent Record Shop,1,20:55:00,4,13
412,Hannah Arendt,5,05:45:00,1,15
413,Filme de amor,2,16:17:00,4,14
414,El corazón del roble,5,02:00:00,3,25
415,La mujer perseguida,5,22:17:00,5,5
